"Name"|"Status"|"Priority"
"RequireSignOrSeal"|"ENABLED."|""
"SealSecureChannel"|"ENABLED."|""
"SignSecureChannel"|"ENABLED."|""
"DisablePasswordChange"|"NOT ENABLED."|"MEDIUM"
"MaximumPasswordAge"|"ENABLED"|""
"RequireStrongKey"|"ENABLED"|""
"Firewall state"|"ENABLED"|""
"DefaultInbound"|"NOT ENABLED."|"MEDIUM"
"DisableNotifications"|"ENABLED"|""
"LogFilePath"|"NOT ENABLED."|"MEDIUM"
"LogFileSize"|"not set to 16384"|"MEDIUM"
"Log Dropped Packets"|"ENABLED"|""
"LogSuccessfulConnections"|"NOT ENABLED"|"HIGH"
"LocalAccountTokenFilterPolicy"|"ENABLED"|""
"DoHPolicy"|"Enabled"|""
"NetBIOS"|"Enabled"|""
"EnableMulticast"|"ENABLED"|""
"NC_StdDomainUserSetLocation"|"ENABLED"|""
"fBlockNonDomain"|"ENABLED"|""
"NoBackgroundPolicy"|"ENABLED"|""
"NoGPOListChanges"|"NOT ENABLED"|"LOW"
"NoBackgroundPolicy2"|"ENABLED"|""
"NoGPOListChanges2"|"NOT ENABLED"|"LOW"
"LAPS BackupDirectory"|"ENABLED"|""
"DontEnumerateConnectedUsers"|"ENABLED"|""
"EnumerateLocalUsers"|"ENABLED"|""
"BlockDomainPicturePassword"|"ENABLED"|""
"NTPEnabled"|"ENABLED"|""
"PwdExpirationProtection"|"ENABLED"|""
"ADPasswordEncryptionEnabled"|"ENABLED"|""
"PasswordComplexity"|"ENABLED"|""
"PasswordLength"|"NOT ENABLED"|"MEDIUM"
"PasswordAgeDays"|"NOT ENABLED"|"MEDIUM"
"PostAuthenticationResetDelay"|"ENABLED"|""
"PostAuthenticationActions"|"NOT ENABLED"|"LOW"
