.Category|Name|Value|Priority|Configuration
AccountLockoutPolicy|AccountLockoutDuration|14|Critical|Pass
AccountLockoutPolicy|AccountLockoutThreshold|10|Medium|Pass
AccountLockoutPolicy|AllowAdministratorLockout|0|Low|Fail
AccountLockoutPolicy|ResetLockoutCount|1|High|Fail
AccountLogon|Audit Credential Validation|Failure|Undefined|Unknown
AccountManagement|Audit Application Group Management|Success|Undefined|Unknown
AccountManagement|Audit Security Group Management|Failure|Undefined|Unknown
AccountManagement|Audit User Account Management|Success and Failure|Undefined|Unknown
Accounts|Accounts_Block_Microsoft_Accounts|0|Medium|Pass
Accounts|Accounts_Guest_Account_Status|0|High|Pass
Accounts|Accounts_Limit_Local_Account_Use_Of_Blank_Passwords|1|High|Fail
Accounts|Accounts_Rename_Administrator_Account|Not Configured|Critical|Fail
Accounts|Accounts_Rename_Guest_Account|Not Configured|Low|Pass
Audit|Audit: Shut down system immediately if unable to log security audits|0|Undefined|Unknown
Audit|Audit: Force audit policy subcategory settings (Windows or later) to override audit policy category settings|1|Undefined|Unknown
DetailedTracking|Audit Plug and Play Events|Success and Failure|Undefined|Unknown
DetailedTracking|Audit Process Creation|Failure|Undefined|Unknown
Devices|Devices: Prevent users from installing printer drivers|0|Undefined|Unknown
HandwritingPersonalization|AllowOnlineTips|Not Configured|Undefined|Unknown
HandwritingPersonalization|AllowUsersToEnableOnlineSpeechRecognitionServices|Enabled|Undefined|Unknown
InteractiveLogon|Interactive logon: Do not require CTRL+ALT+DEL|1|Undefined|Unknown
InteractiveLogon|Interactive logon: Don't display last signed-in|0|Undefined|Unknown
InteractiveLogon|Interactive logon: Machine account lockout threshold|0|Undefined|Unknown
InteractiveLogon|Interactive logon: Machine inactivity limit|0|Undefined|Unknown
InteractiveLogon|Interactive logon: Message text for users attempting to log on||Undefined|Unknown
InteractiveLogon|Interactive logon: Message title for users attempting to log on|""|Undefined|Unknown
InteractiveLogon|Interactive logon: Prompt user to change password before expiration|6|Undefined|Unknown
InteractiveLogon|Interactive logon: Smart card removal behavior|"0"|Undefined|Unknown
LogonLogoff|Audit Account Lockout|Success|Undefined|Unknown
LogonLogoff|Audit Group Membership|Failure|Undefined|Unknown
LogonLogoff|Audit Logoff|Success and Failure|Undefined|Unknown
LogonLogoff|Audit Logon|Success|Undefined|Unknown
LogonLogoff|Audit Other Logon/Logoff Events|Failure|Undefined|Unknown
LogonLogoff|Audit Special Logon|Success and Failure|Undefined|Unknown
MicrosoftNetworkClient|Microsoft network client: Digitally sign communications (always)|0|Undefined|Unknown
MicrosoftNetworkClient|Microsoft network client: Digitally sign communications (if server agrees)|1|Undefined|Unknown
MicrosoftNetworkClient|Microsoft network client: Send unencrypted password to third-party SMB servers|0|Undefined|Unknown
MicrosoftNetworkServer|Microsoft network server: Amount of idle time required before suspending session|15|Undefined|Unknown
MicrosoftNetworkServer|Microsoft network server: Digitally sign communications (always)|0|Undefined|Unknown
MicrosoftNetworkServer|Microsoft network server: Digitally sign communications (if client agrees)|0|Undefined|Unknown
MicrosoftNetworkServer|Microsoft network server: Disconnect clients when logon hours expire|1|Undefined|Unknown
MicrosoftNetworkServer|Microsoft network server: Server SPN target name validation level|0|Undefined|Unknown
MSS(Legacy)|MSS: (AutoAdminLogon) Enable Automatic Logon|Enabled|Undefined|Unknown
MSS(Legacy)|MSS: (DisableIPSourceRouting IPv6) IP source routing protection level|No additional protection, source routed packets are allowed|Undefined|Unknown
MSS(Legacy)|MSS: (DisableIPSourceRouting) IP source routing protection level|Not Configured|Undefined|Unknown
MSS(Legacy)|MSS: (DisableSavePassword) Prevent the dial-up password from being saved|Disabled|Undefined|Unknown
MSS(Legacy)|MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes|Enabled|Undefined|Unknown
MSS(Legacy)|MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds|300000|Undefined|Unknown
MSS(Legacy)|MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests|Enabled|Undefined|Unknown
MSS(Legacy)|MSS: (PerformRouterDiscovery) Allow IRDP to detect and configure Default Gateway addresses|Enabled|Undefined|Unknown
MSS(Legacy)|MSS: (SafeDllSearchMode) Enable Safe DLL search mode|Enabled|Undefined|Unknown
MSS(Legacy)|MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires|5|Undefined|Unknown
MSS(Legacy)|MSS: (TcpMaxDataRetransmissions IPv6) How many times unacknowledged data is retransmitted|10|Undefined|Unknown
MSS(Legacy)|MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted|5|Undefined|Unknown
MSS(Legacy)|MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning|60|Undefined|Unknown
MSSecurityGuide|ConfigureRPCPacketLevelPrivacy|Disabled|Undefined|Unknown
MSSecurityGuide|ConfigureSMBv1Clientdrive|Not Configured|Undefined|Unknown
MSSecurityGuide|ConfigureSMBv1Server|Enabled|Undefined|Unknown
MSSecurityGuide|EnableCertificatePadding|Not Configured|Undefined|Unknown
MSSecurityGuide|EnableSEHOP|Enabled|Undefined|Unknown
MSSecurityGuide|NetBTNodeTypeConfiguration|H-node|Undefined|Unknown
MSSecurityGuide|WDigestAuthentication|Enabled|Undefined|Unknown
Network|Allow Windows to automatically connect to suggested open hotspots, to networks shared by contacts, and to hotspots offering paid services|Enabled|Undefined|Unknown
Network|Configuration of wireless settings using Windows Connect Now|Turn off ability to configure using WCN over Ethernet (UPnP) = Enabled Turn off ability to configure using WCN over In-band 802.11 WLAN = Disabled Turn off ability to configure using a USB Flash Drive = Enabled Turn off ability to configure Windows Portable device (WPD) = Disabled Maximum number of WCN devices allowed = 500 Higher precedence medium for devices discovered by multiple media = WCN over In-band 802.11 WLAN|Undefined|Unknown
Network|Configure DNS over HTTPS (DoH) name resolution|Not Configured|Undefined|Unknown
Network|Enable Font Providers|Not Configured|Undefined|Unknown
Network|Enable insecure guest logons|Not Configured|Undefined|Unknown
Network|Hardened UNC Paths|RequireMutualAuthentication=1, RequireIntegrity=1, RequirePrivacy=1 RequireMutualAuthentication=1, RequireIntegrity=1, RequirePrivacy=1|Undefined|Unknown
Network|Minimize the number of simultaneous connections to the Internet or a Windows Domain|Prevent Wi-Fi when on Ethernet|Undefined|Unknown
Network|Prohibit access of the Windows Connect Now wizards|Disabled|Undefined|Unknown
Network|Prohibit installation and configuration of Network Bridge on your DNS domain network|Disabled|Undefined|Unknown
Network|Prohibit use of Internet Connection Sharing on your DNS domain network|Disabled|Undefined|Unknown
Network|TCPIP6 Parameter DisabledComponents|IPv6 Disabled|Undefined|Unknown
Network|Turn on Mapper I/O (LLTDIO) driver|Allow operation while in domain, Allow operation while in public network|Undefined|Unknown
Network|Turn on Responder (RSPNDR) driver|Allow operation while in domain, Prohibit operation while in private network|Undefined|Unknown
Network|TurnOffPeerToPeerNetworkingServices|Disabled|Undefined|Unknown
NetworkAccess|Network access: Allow anonymous SID/Name translation|0|Undefined|Unknown
NetworkAccess|Network access: Do not allow anonymous enumeration of SAM accounts|0|Undefined|Unknown
NetworkAccess|Network access: Do not allow anonymous enumeration of SAM accounts and shares|1|Undefined|Unknown
NetworkAccess|Network access: Do not allow storage of passwords and credentials for network authentication|0|Undefined|Unknown
NetworkAccess|Network access: Let Everyone permissions apply to anonymous users|0|Undefined|Unknown
NetworkAccess|Network access: Named Pipes that can be accessed anonymously||Undefined|Unknown
NetworkAccess|Network access: Remotely accessible registry paths|System\CurrentControlSet\Control\ProductOptions,System\CurrentControlSet\Control\ServerApplications,Software\Microsoft\WindowsNT\CurrentVersion|Undefined|Unknown
NetworkAccess|Network access: Remotely accessible registry paths and sub-paths|System\CurrentControlSet\Control\Print\Printers,System\CurrentControlSet\Services\Eventlog,Software\Microsoft\OLAPServer,Software\Microsoft\WindowsNT\CurrentVersion\Print,Software\Microsoft\WindowsNT\CurrentVersion\Windows,System\CurrentControlSet\Control\ContentIndex,System\CurrentControlSet\Control\TerminalServer,System\CurrentControlSet\Control\TerminalServer\UserConfig,System\CurrentControlSet\Control\TerminalServer\DefaultUserConfiguration,Software\Microsoft\WindowsNT\CurrentVersion\Perflib,System\CurrentControlSet\Services\SysmonLog|Undefined|Unknown
NetworkAccess|Network access: Restrict anonymous access to Named Pipes and Shares|1|Undefined|Unknown
NetworkAccess|Network access: Restrict clients allowed to make remote calls to SAM|"O:BAG:BAD:"|Undefined|Unknown
NetworkAccess|Network access: Shares that can be accessed anonymously||Undefined|Unknown
NetworkAccess|Network access: Sharing and security model for local accounts|0|Undefined|Unknown
NetworkSecurity|Network security: Allow Local System to use computer identity for NTLM|1|Undefined|Unknown
NetworkSecurity|Network security: Allow LocalSystem NULL session fallback|1|Undefined|Unknown
NetworkSecurity|Network Security: Allow PKU2U authentication requests to this computer to use online identities|1|Undefined|Unknown
NetworkSecurity|Network security: Configure encryption types allowed for Kerberos|0|Undefined|Unknown
NetworkSecurity|Network security: Do not store LAN Manager hash value on next password change|1|Undefined|Unknown
NetworkSecurity|Network security: Force logoff when logon hours expire|0|Undefined|Unknown
NetworkSecurity|Network security: LAN Manager authentication level|0|Undefined|Unknown
NetworkSecurity|Network security: LDAP client signing requirements|1|Undefined|Unknown
NetworkSecurity|Network security: Minimum session security for NTLM SSP based (including secure RPC) clients|536870912|Undefined|Unknown
NetworkSecurity|Network security: Minimum session security for NTLM SSP based (including secure RPC) servers|536870912|Undefined|Unknown
NetworkSecurity|Network security: Restrict NTLM: Audit Incoming NTLM Traffic|2|Undefined|Unknown
NetworkSecurity|Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers|0|Undefined|Unknown
ObjectAccess|Audit Detailed File Share|Success|Undefined|Unknown
ObjectAccess|Audit File Share|Failure|Undefined|Unknown
ObjectAccess|Audit Other Object Access Events|Success and Failure|Undefined|Unknown
ObjectAccess|Audit Removable Storage|Success|Undefined|Unknown
PasswordPolicies|EnforcePasswordHistory|1|Undefined|Unknown
PasswordPolicies|MaximumPasswordAge|5|Undefined|Unknown
PasswordPolicies|MinimumPasswordLength|5|Undefined|Unknown
PasswordPolicies|PasswordComplexity|1|Undefined|Unknown
PasswordPolicies|RelaxMinimumPasswordLength|1|Undefined|Unknown
PasswordPolicies|StorePasswordsReversibleEncryption|1|Undefined|Unknown
Personalization|PreventEnablingLockScreenCamera|Disabled|Undefined|Unknown
Personalization|PreventEnablingLockScreenSlideShow|Disabled|Undefined|Unknown
PolicyChange|Audit Audit Policy Change|Success|Undefined|Unknown
PolicyChange|Audit Authentication Policy Change|Failure|Undefined|Unknown
PolicyChange|Audit Authorization Policy Change|Success and Failure|Undefined|Unknown
PolicyChange|Audit MPSSVC Rule-Level Policy Change|Success|Undefined|Unknown
PolicyChange|Audit Other Policy Change Events|Failure|Undefined|Unknown
PrivateFirewallSettings|DisplayNotification|Enabled|Undefined|Unknown
PrivateFirewallSettings|FirewallState|Enabled|Undefined|Unknown
PrivateFirewallSettings|InboundConnections|Allow|Undefined|Unknown
PrivateFirewallSettings|LogDroppedPackets|Enabled|Undefined|Unknown
PrivateFirewallSettings|LogFileName|%systemroot%\system32\logfiles\firewall\pfirewall.log|Undefined|Unknown
PrivateFirewallSettings|LogFileSize|4096|Undefined|Unknown
PrivateFirewallSettings|LogSuccessfulConnections|Enabled|Undefined|Unknown
PrivilegeUse|Audit Sensitive Privilege Use|Success|Undefined|Unknown
PublicFirewallSettings|DisplayNotification|Not Configured|Undefined|Unknown
PublicFirewallSettings|FirewallState|Not Configured|Undefined|Unknown
PublicFirewallSettings|InboundConnections|Not Configured|Undefined|Unknown
PublicFirewallSettings|LocalConnectionSecurityRules|Not Configured|Undefined|Unknown
PublicFirewallSettings|LocalFirewallRules|Not Configured|Undefined|Unknown
PublicFirewallSettings|LogDroppedPackets|Not Configured|Undefined|Unknown
PublicFirewallSettings|LogFileName|Not Configured|Undefined|Unknown
PublicFirewallSettings|LogFileSize|Not Configured|Undefined|Unknown
PublicFirewallSettings|LogSuccessfulConnections|Not Configured|Undefined|Unknown
System|Audit IPsec Driver|Success|Undefined|Unknown
System|Audit Other System Events|Success|Undefined|Unknown
System|Audit Security State Change|Failure|Undefined|Unknown
System|Audit Security System Extension|Success and Failure|Undefined|Unknown
System|Audit System Integrity|Success|Undefined|Unknown
SystemCryptography|System cryptography: Force strong key protection for user keys stored on the computer|0|Undefined|Unknown
SystemObjects|System objects: Require case insensitivity for non-Windows subsystems|1|Undefined|Unknown
SystemObjects|System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)|1|Undefined|Unknown
SystemServices|Bluetooth Audio Gateway Service (BTAGService)|Not Configured|Undefined|Unknown
SystemServices|Bluetooth Support Service (bthserv)|Manual|Undefined|Unknown
SystemServices|Computer Browser (Browser)|Manual|Undefined|Unknown
